yagoID	actorName	yagoTitle	imdbTitle	imdbActors	yagoDate	imdbDate	matchDate	matchActor	matchYear	matchBoth
id_3CIFB!jqqP_5yq_yUwR5lrtir	Alice Brady	In_the_Hollow_of_Her_Hand	In the Hollow of Her Hand	['Alice Brady', ' Myrtle Stedman', ' Louise Clark', ' A.J. Herbert']	1918-12	1918-12-01	0	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_YkTpavg9WN	Alice Brady	Sinners	Sinners	['Karen Ardiff', ' John Boland', ' Ruth Bradley', ' Michael Colgan']	1920-03-15	2002-03-26	0	No	No	No
id_3CIFB!jqqP_5yq_dOmsCaQUPv	Alice Brady	A_Hungry_Heart	A Hungry Heart	['Alice Brady', ' Edward Langford', ' George MacQuarrie', ' Gerda Holmes']	1917-02-05	1917-02-05	1	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_1AI4XGffyS	Alice Brady	Hush_Money	Hush Money	['Kennedy Waite', ' Rodney Grier', ' Walter Anaruk', ' Scott Croushore']	1921	2017-06-01	0	No	No	No
id_3CIFB!jqqP_5yq_Uty53Ymfqd	Alice Brady	Zenobia	Zenobia	['Oliver Hardy', ' Harry Langdon', ' Billie Burke', ' Alice Brady']	1939	1939-04-21	0	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_E!lPjJBKWR	Alice Brady	The_Leopardess	The Leopardess	['Alice Brady', ' Edward Langford', ' Montagu Love', ' Charles Kent']	1923-03-23	1923-03-26	0	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_NJfJefdqLV	Alice Brady	Missing_Millions	The Hunt for Hitler's Missing Millions	['Michael Haydon', ' Adolf Hitler']	1922-09-17	NaT	0	No	No	No
id_3CIFB!jqqP_5yq_wfHHN2pq9d	Alice Brady	La_Bohème	La Bohème	['Lillian Gish', ' John Gilbert', ' Renée Adorée', ' George Hassell']	1916-06-19	1926-03-13	0	No	No	No
id_3CIFB!jqqP_5yq_7DKilQIK4v	Alice Brady	In_Old_Chicago	In Old Chicago	['Tyrone Power', ' Alice Faye', ' Don Ameche', ' Alice Brady']	1938-01-06	1938-04-15	0	Yes	No	No
id_3CIFB!jqqP_5yq_sgeYa3HlmK	Alice Brady	Miss_Fane's_Baby_Is_Stolen	Miss Fane's Baby Is Stolen	['Dorothea Wieck', ' Alice Brady', ' Baby LeRoy', ' William Frawley']	1934-01-12	1934-01-12	1	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_7!fIu1!LmY	Alice Brady	Broadway_to_Hollywood	Broadway to Hollywood	['Alice Brady', ' Frank Morgan', ' Jackie Cooper', ' Russell Hardie']	1933-09-15	1933-09-15	1	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_4a8aAbXALg	Alice Brady	The_Harvester	The Harvester	['Ayam Fared']	1936-04-18	2013-10-04	0	No	No	No
id_3CIFB!jqqP_5yq_m1m0RKNRl8	Alice Brady	A_Dark_Lantern	A Dark Lantern	['Alice Brady', ' James Crane', ' Reginald Denny', ' Brandon Hurst']	1920-07-16	1920-07-16	1	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_18?KhA9qM7	Alice Brady	Anna_Ascends	Anna Ascends	['Alice Brady', ' Robert Ellis', ' David Powell', ' Nita Naldi']	1922-11-19	1922-11-19	1	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_v37z9X6mYO	Alice Brady	Young_Mr._Lincoln	Young Mr. Lincoln	['Henry Fonda', ' Alice Brady', ' Marjorie Weaver', ' Arleen Whelan']	1939-05-30	1939-06-09	0	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_EQkN17hnEf	Alice Brady	Call_It_a_Day	Call It a Day	['Olivia de Havilland', ' Ian Hunter', ' Anita Louise', ' Alice Brady']	1937-04-17	1937-04-17	1	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_DqhEQVUEPI	Alice Brady	Mama_Steps_Out	Mama Steps Out	['Guy Kibbee', ' Alice Brady', ' Betty Furness', ' Dennis Morgan']	1937-02-05	1937-02-05	1	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_etbrBbRvwZ	Alice Brady	Out_of_the_Chorus	Out of the Chorus	['Alice Brady', ' Vernon Steele', ' Charles K. Gerrard', ' Emily Fitzroy']	1921-02	1921-02-01	0	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_71xY26vfa!	Alice Brady	The_Gilded_Cage	The Gilded Cage	['Rita Blanco', ' Joaquim de Almeida', ' Roland Giraud', ' Chantal Lauby']	1916-10-09	2013-04-24	0	No	No	No
id_3CIFB!jqqP_5yq_JCCRxxYJO5	Alice Brady	Dawn_of_the_East	Dawn of the East	['Alice Brady', ' Kenneth Harlan', ' Michio Ito', ' America Chedister']	1921	1921-10-01	0	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_w?3ADa8ga6	Alice Brady	Beauty_for_Sale	Beauty for Sale	['Madge Evans', ' Alice Brady', ' Otto Kruger', ' Una Merkel']	1933-09-01	1933-09-01	1	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_w6RgAEgbYP	Alice Brady	When_Ladies_Meet	When Ladies Meet	['Joan Crawford', ' Robert Taylor', ' Greer Garson', ' Herbert Marshall']	1933-06-23	1941-08-29	0	No	No	No
id_3CIFB!jqqP_5yq_9y6jr9h!A8	Alice Brady	Lady_Tubbs	Lady Tubbs	['Alice Brady', ' Douglass Montgomery', ' Anita Louise', ' Alan Mowbray']	1935-07-02	1935-07-02	1	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_obIK3ZVhCU	Alice Brady	Stage_Mother	Stage Mother	"['Alice Brady', "" Maureen O'Sullivan"", ' Franchot Tone', ' Phillips Holmes']"	1933	1933-09-29	0	Yes	Yes	Yes
